planner,terrain,density,seed,obsFrac,numUAV,mission_time_s,fleet_energy_MJ,energy_per_UAV_MJ,HPC_pct,sorties,energy_per_bit_J,any_collision,met_hpc_target,composite_score,is_optimal_for_seed
priority,hilly,medium,31027,0,9,4197.5,15.0042101961598,1.66713446623997,85.9600443951165,17,1390.05492321527,1,1,8.65235989950564,0
priority,hilly,medium,31027,0,10,4347.5,15.8956148468525,1.58956148468525,86.6259711431743,18,1479.6836633585,1,1,8.7822169996083,0
priority,hilly,high,31042,0,1,5930,10.5821944495303,10.5821944495303,86.7545871559633,12,1087.94243745723,0,1,0.418551492973048,0
priority,hilly,high,31042,0,2,3780,11.4831694976265,5.74158474881323,86.1811926605505,13,1092.75925740325,0,1,0.20774797226678,0
priority,hilly,high,31042,0,3,2911.25,11.4711115199425,3.82370383998085,85.6651376146789,13,1077.26667884556,0,1,0.0827060592251096,0
priority,hilly,high,31042,0,4,2810,11.4908774109607,2.87271935274018,85.493119266055,13,1065.57488579523,0,1,0.0613629798758386,1
priority,hilly,high,31042,0,5,3063.75,13.2679399260898,2.65358798521795,86.3532110091743,15,1127.81216847248,0,1,0.265518491368318,0
priority,hilly,high,31042,0,6,3052.5,12.381498671792,2.06358311196533,87.3279816513761,14,1193.37390380694,1,1,8.25859162776438,0
priority,hilly,high,31042,0,7,3757.5,13.2416606373563,1.89166580533661,85.3211009174312,15,1303.72892925409,1,1,8.49859031695436,0
priority,hilly,high,31042,0,8,3503.75,14.1374393013456,1.7671799126682,86.4105504587156,16,1280.50245120068,1,1,8.50728594315162,0
priority,hilly,high,31042,0,9,3948.75,15.0186547943543,1.66873942159493,85.2064220183486,17,1374.53810485745,1,1,8.70183786056985,0
priority,hilly,high,31042,0,10,4006.25,15.0246920104493,1.50246920104493,86.0091743119266,17,1427.28515398482,1,1,8.75336538461539,0
priority,hilly,high,31043,0,1,5573.75,9.69769027424578,9.69769027424578,85.5203619909502,11,1036.55876542062,0,1,0.4,0
priority,hilly,high,31043,0,2,3508.75,10.6152638971005,5.30763194855025,85.3506787330317,12,1050.69135265192,0,1,0.134723109115096,0
priority,hilly,high,31043,0,3,3143.75,12.3668751862324,4.12229172874415,85.0113122171946,14,1038.08306158468,0,1,0.1437612374469,0
priority,hilly,high,31043,0,4,2948.75,12.3569088401603,3.08922721004008,85.972850678733,14,1055.0784467625,0,1,0.126344353966094,1
priority,hilly,high,31043,0,5,3451.25,13.2645298578134,2.65290597156269,87.1606334841629,15,1121.79981848023,1,1,8.29124086947557,0
priority,hilly,high,31043,0,6,3592.5,13.2451593704542,2.20752656174237,85.9162895927602,15,1229.07801981614,1,1,8.39222998771052,0
priority,hilly,high,31043,0,7,3346.25,13.2703359697762,1.8957622813966,86.4253393665158,15,1227.15868016308,1,1,8.35433475316989,0
priority,hilly,high,31043,0,8,3472.5,14.1475593962257,1.76844492452821,87.10407239819,16,1226.75987572435,1,1,8.41038083751979,0
priority,hilly,high,31043,0,9,4007.5,14.13083019998,1.57009224444222,85.3506787330317,16,1428.06685453867,1,1,8.64185077874472,0
priority,hilly,high,31043,0,10,4585,16.7899089702387,1.67899089702387,87.3303167420815,19,1437.42554600028,1,1,8.84933333333333,0
priority,hilly,high,31044,0,1,5960,10.5799250702674,10.5799250702674,87.1380846325167,12,1128.87854730887,0,1,0.420651805961579,0
priority,hilly,high,31044,0,2,3517.5,10.5967129063981,5.29835645319907,86.4699331848552,12,1117.99767882715,0,1,0.113312898451366,0
priority,hilly,high,31044,0,3,2701.25,10.600484500196,3.53349483339868,86.0801781737194,12,1102.93373230971,0,1,0.0013843099916883,1
priority,hilly,high,31044,0,4,3635,14.1230598338504,3.53076495846261,85.8017817371938,16,1130.95702847444,1,1,8.3754875281349,0
priority,hilly,high,31044,0,5,2865,12.3901747181468,2.47803494362936,87.4721603563474,14,1154.38816734245,0,1,0.182944878214698,0
priority,hilly,high,31044,0,6,3193.75,12.3648375904839,2.06080626508065,86.1358574610245,14,1218.99636961313,0,1,0.273019236430745,0
