terrain,density,seed,numUAV,mission_time_s,fleet_energy_MJ,energy_per_UAV_MJ,HPC_pct,sorties,energy_per_bit_J,any_collision,met_hpc_target,composite_score,is_optimal_for_seed
hilly,high,25214,11,3915,15.9119308956415,1.44653917233105,85.6818181818182,18,1441.27265430261,1,1,8.73260244728409,0
hilly,high,25214,12,3912.5,15.9015569237481,1.32512974364568,87.1022727272727,18,1461.96886098605,1,1,8.74740524121258,0
hilly,high,25215,1,6027.5,10.5781263758506,10.5781263758506,86.8704018109791,12,1064.96448040942,0,1,0.400206515460132,0
hilly,high,25215,2,3817.5,11.4943732050645,5.74718660253224,86.3044708545557,13,1064.63599546874,0,1,0.150581776011148,0
hilly,high,25215,3,3110,12.3785873948815,4.12619579829383,86.0780984719864,14,1088.25301011329,0,1,0.114131433372415,1
hilly,high,25215,4,3017.5,11.4761413889488,2.86903534723721,87.3231465761177,13,1078.5754762712,1,1,8.052152216535,0
hilly,high,25215,5,3058.75,12.3593099411479,2.47186198822958,87.2665534804754,14,1146.88588128775,0,1,0.143251337228572,0
hilly,high,25215,6,3096.25,12.3846941040749,2.06411568401249,85.6819468024901,14,1180.84299742251,1,1,8.17080971647789,0
hilly,high,25215,7,3141.25,12.3819607518227,1.76885153597468,85.7951329937748,14,1230.67930860282,1,1,8.20798934831506,0
hilly,high,25215,8,3542.5,13.2776654461711,1.65970818077138,85.6253537068478,15,1299.86951022311,1,1,8.34808781823833,0
hilly,high,25215,9,3656.25,14.1434432875581,1.57149369861756,86.3044708545557,16,1331.51291371825,1,1,8.42492903239133,0
hilly,high,25215,10,3475,13.278550230519,1.3278550230519,85.0594227504244,15,1409.17738666406,1,1,8.40788132419159,0
hilly,high,25215,11,4367.5,15.9037404616502,1.44579458742275,86.1346915676287,18,1541.81810154819,1,1,8.73671495553214,0
hilly,high,25215,12,4122.5,16.7872353621403,1.39893628017836,86.5874363327674,19,1491.99550469576,1,1,8.71552084554911,0
hilly,high,25216,1,6110,10.5786148903017,10.5786148903017,86.5722379603399,12,1067.46345229534,0,1,0.407387425096791,0
hilly,high,25216,2,4100,12.3621637119405,6.18108185597026,86.742209631728,14,1088.62857578792,0,1,0.23488661607373,0
hilly,high,25216,3,2932.5,11.4933699168108,3.83112330560361,85.3257790368272,13,1055.86735622221,0,1,0.0343862664944262,1
hilly,high,25216,4,3158.75,13.276343277511,3.31908581937774,87.2521246458924,15,1105.30256656912,1,1,8.16138422791995,0
hilly,high,25216,5,3022.5,13.2535703496474,2.65071406992948,86.2889518413598,15,1131.22530161468,0,1,0.159890702714802,0
hilly,high,25216,6,3078.75,13.2634152544826,2.21056920908043,85.7223796033994,15,1162.32669722377,1,1,8.18715531632172,0
hilly,high,25216,7,3963.75,14.140526118402,2.02007515977171,86.2322946175637,16,1290.44507727695,0,1,0.413154126346612,0
hilly,high,25216,8,3871.25,15.0182017944798,1.87727522430997,85.1558073654391,17,1294.0842576448,1,1,8.43682056152186,0
hilly,high,25216,9,4186.25,15.0108689821784,1.66787433135315,85.9490084985836,17,1426.40890968874,1,1,8.56049765891061,0
hilly,high,25216,10,4051.25,15.0283540965567,1.50283540965567,86.4022662889518,17,1424.78738421739,1,1,8.54312743250938,0
hilly,high,25216,11,5102.5,18.5593157900996,1.68721052637269,86.0623229461756,21,1526.77958563359,1,1,8.87317073170732,0
hilly,high,25216,12,4050,16.8126286807706,1.40105239006422,86.5155807365439,19,1442.82320168287,1,1,8.62153209987032,0
hilly,high,25217,1,6530,11.4591441609654,11.4591441609654,87.0267260579065,13,1063.06373257068,0,1,0.4,0
hilly,high,25217,2,3798.75,11.4843825203379,5.74219126016895,87.1380846325167,13,1075.2785843969,0,1,0.106746437611621,0
hilly,high,25217,3,2916.25,11.4837913940509,3.82793046468362,85.467706013363,13,1068.71830586266,0,1,0.00492527071463075,1
hilly,high,25217,4,3335,13.2658103006222,3.31645257515555,85.5233853006682,15,1111.89998514896,0,1,0.17855299518584,0
hilly,high,25217,5,3491.25,13.2597801364455,2.6519560272891,86.2472160356348,15,1165.38096625275,0,1,0.228977409868606,0
